target_id,year,region,subject,paper_type,title,scope,linked_record_ids,official_evidence_ids,notes
2020-national-math-3-wen,2020,全国,数学,全国三卷文科,2020年普通高等学校招生全国统一考试数学全国三卷文科,全国三卷使用范围；文科数学,deekur-2020-06-math,neea-2020-national-math-analysis-3-wen,经教育部教育考试院全国卷数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2020-national-math-3-li,2020,全国,数学,全国三卷理科,2020年普通高等学校招生全国统一考试数学全国三卷理科,全国三卷使用范围；理科数学,deekur-2020-07-math,neea-2020-national-math-analysis-3-li,经教育部教育考试院全国卷数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2020-national-physics-1,2020,全国,物理,全国一卷理综物理,2020年普通高等学校招生全国统一考试全国一卷理综物理部分,全国一卷使用范围；理综物理部分,deekur-物理-2020-043,neea-2020-national-physics-analysis-1,经教育部教育考试院物理全国卷试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2020-national-physics-2,2020,全国,物理,全国二卷理综物理,2020年普通高等学校招生全国统一考试全国二卷理综物理部分,全国二卷使用范围；理综物理部分,deekur-物理-2020-044,neea-2020-national-physics-analysis-2,经教育部教育考试院物理全国卷试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2020-national-physics-3,2020,全国,物理,全国三卷理综物理,2020年普通高等学校招生全国统一考试全国三卷理综物理部分,全国三卷使用范围；理综物理部分,deekur-物理-2020-045,neea-2020-national-physics-analysis-3,经教育部教育考试院物理全国卷试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2019-national-math-1-wen,2019,全国,数学,全国一卷文科,2019年普通高等学校招生全国统一考试数学全国一卷文科,全国一卷使用范围；文科数学,deekur-数学-2019-030,neea-2019-national-math-analysis-1-wen,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2019-national-math-1-li,2019,全国,数学,全国一卷理科,2019年普通高等学校招生全国统一考试数学全国一卷理科,全国一卷使用范围；理科数学,deekur-数学-2019-031,neea-2019-national-math-analysis-1-li,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2019-national-math-2-wen,2019,全国,数学,全国二卷文科,2019年普通高等学校招生全国统一考试数学全国二卷文科,全国二卷使用范围；文科数学,deekur-数学-2019-032,neea-2019-national-math-analysis-2-wen,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2019-national-math-2-li,2019,全国,数学,全国二卷理科,2019年普通高等学校招生全国统一考试数学全国二卷理科,全国二卷使用范围；理科数学,deekur-数学-2019-033,neea-2019-national-math-analysis-2-li,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2019-national-math-3-wen,2019,全国,数学,全国三卷文科,2019年普通高等学校招生全国统一考试数学全国三卷文科,全国三卷使用范围；文科数学,deekur-数学-2019-034,neea-2019-national-math-analysis-3-wen,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2019-national-math-3-li,2019,全国,数学,全国三卷理科,2019年普通高等学校招生全国统一考试数学全国三卷理科,全国三卷使用范围；理科数学,deekur-数学-2019-035,neea-2019-national-math-analysis-3-li,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2018-national-math-1-wen,2018,全国,数学,全国一卷文科,2018年普通高等学校招生全国统一考试数学全国一卷文科,全国一卷使用范围；文科数学,deekur-数学-2018-017,neea-2018-national-math-analysis-1-wen,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2018-national-math-1-li,2018,全国,数学,全国一卷理科,2018年普通高等学校招生全国统一考试数学全国一卷理科,全国一卷使用范围；理科数学,deekur-数学-2018-018,neea-2018-national-math-analysis-1-li,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2018-national-math-2-wen,2018,全国,数学,全国二卷文科,2018年普通高等学校招生全国统一考试数学全国二卷文科,全国二卷使用范围；文科数学,deekur-数学-2018-019,neea-2018-national-math-analysis-2-wen,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2018-national-math-2-li,2018,全国,数学,全国二卷理科,2018年普通高等学校招生全国统一考试数学全国二卷理科,全国二卷使用范围；理科数学,deekur-数学-2018-020,neea-2018-national-math-analysis-2-li,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2018-national-math-3-wen,2018,全国,数学,全国三卷文科,2018年普通高等学校招生全国统一考试数学全国三卷文科,全国三卷使用范围；文科数学,deekur-数学-2018-021,neea-2018-national-math-analysis-3-wen,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2018-national-math-3-li,2018,全国,数学,全国三卷理科,2018年普通高等学校招生全国统一考试数学全国三卷理科,全国三卷使用范围；理科数学,deekur-数学-2018-022,neea-2018-national-math-analysis-3-li,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2017-national-math-1-wen,2017,全国,数学,全国一卷文科,2017年普通高等学校招生全国统一考试数学全国一卷文科,全国一卷使用范围；文科数学,deekur-数学-2017-002,neea-2017-national-math-analysis-1-wen,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2017-national-math-1-li,2017,全国,数学,全国一卷理科,2017年普通高等学校招生全国统一考试数学全国一卷理科,全国一卷使用范围；理科数学,deekur-数学-2017-003,neea-2017-national-math-analysis-1-li,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2017-national-math-2-wen,2017,全国,数学,全国二卷文科,2017年普通高等学校招生全国统一考试数学全国二卷文科,全国二卷使用范围；文科数学,deekur-数学-2017-004,neea-2017-national-math-analysis-2-wen,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2017-national-math-2-li,2017,全国,数学,全国二卷理科,2017年普通高等学校招生全国统一考试数学全国二卷理科,全国二卷使用范围；理科数学,deekur-数学-2017-005,neea-2017-national-math-analysis-2-li,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2017-national-math-3-wen,2017,全国,数学,全国三卷文科,2017年普通高等学校招生全国统一考试数学全国三卷文科,全国三卷使用范围；文科数学,deekur-数学-2017-006,neea-2017-national-math-analysis-3-wen,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
2017-national-math-3-li,2017,全国,数学,全国三卷理科,2017年普通高等学校招生全国统一考试数学全国三卷理科,全国三卷使用范围；理科数学,deekur-数学-2017-007,neea-2017-national-math-analysis-3-li,经教育部教育考试院数学试题评析佐证的卷制目标；文件来源和授权仍以关联记录为准
